dataset,sensor,clamp_mode,strategy,P,P_max,rho_split,epsilon,w,payload_bound,normalized_mae,predicted_nmae_uniform,predicted_laplace_scale,kl_divergence,release_rate,attribution_advantage,avg_n_tau_eligible,avg_n_tau,mae,deferrals,num_timestamps,trial,seed,subscription_level,scope
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,8,50.0,0.1779236419659574,0.5081810662188884,25.40905331094442,0.557871710264235,0.5300505261982525,0.0718631888469417,7.871210216000223,7.86330011445161,8.896182098297869,16835,35823,4,4077,1,energy
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,8,50.0,0.1788766386432261,0.5081810662188884,25.40905331094442,0.3216202894995519,0.5254166317728833,0.0716505894900858,7.871210216000223,7.86330011445161,8.943831932161308,17001,35823,5,5077,1,energy
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,10,50.0,0.1943688042986646,0.6352263327736104,31.761316638680523,0.2349040278682293,0.5169862937219105,0.0701185733063432,7.871210216000223,7.86330011445161,9.718440214933231,17303,35823,0,77,1,energy
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,10,50.0,0.1941092230990429,0.6352263327736104,31.761316638680523,0.3612887988852015,0.5252212265862714,0.0700476023961275,7.871210216000223,7.86330011445161,9.705461154952149,17008,35823,1,1077,1,energy
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,10,50.0,0.192763420596923,0.6352263327736104,31.761316638680523,0.376118729167585,0.5209223124808084,0.0700966028118913,7.871210216000223,7.86330011445161,9.63817102984615,17162,35823,2,2077,1,energy
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,10,50.0,0.1954075771710071,0.6352263327736104,31.761316638680523,0.3642538930035526,0.5213689529073501,0.0699400225428227,7.871210216000223,7.86330011445161,9.770378858550355,17146,35823,3,3077,1,energy
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,10,50.0,0.1945162705464313,0.6352263327736104,31.761316638680523,0.5712263089718445,0.5244396058398236,0.070198354368259,7.871210216000223,7.86330011445161,9.725813527321568,17036,35823,4,4077,1,energy
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,10,50.0,0.1951483747940166,0.6352263327736104,31.761316638680523,0.2087836141925076,0.5206431622142199,0.0701429711603428,7.871210216000223,7.86330011445161,9.757418739700832,17172,35823,5,5077,1,energy
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,12,50.0,0.2097008414186559,0.7622715993283325,38.11357996641662,0.2554830845240852,0.5134690003628953,0.0689542193245846,7.871210216000223,7.86330011445161,10.485042070932796,17429,35823,0,77,1,energy
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,12,50.0,0.20745021831365,0.7622715993283325,38.11357996641662,0.2680675647035767,0.5217597632805739,0.0688947449895232,7.871210216000223,7.86330011445161,10.372510915682504,17132,35823,1,1077,1,energy
