stream_id,dataset,sensor,clamp_mode,subscription_level,scope,n_pubs,payload_bound,P_min,P_max,epsilon,w,P,strategy,trial,seed,normalized_mae,mae,kl_divergence,release_rate,attribution_advantage,avg_n_tau,eps_count_spent
energy|power_kw|4|energy/building01/CT1/power_kw,energy,power_kw,static,4,energy/building01/CT1/power_kw,1,50.0,1,,1.0,8,1,p_gated_uniform,5,5077,7.984857715768562,399.2428857884281,0.9933288215853604,0.9987162671280664,1.0,0.9987162671280664,0.0
energy|power_kw|4|energy/building01/CT2/power_kw,energy,power_kw,static,4,energy/building01/CT2/power_kw,1,50.0,1,,1.0,8,1,p_gated_uniform,0,77,7.9123616262979555,395.6180813148978,0.7275234063686086,0.997916842609014,1.0,0.997916842609014,0.0
energy|power_kw|4|energy/building01/CT2/power_kw,energy,power_kw,static,4,energy/building01/CT2/power_kw,1,50.0,1,,1.0,8,1,p_gated_uniform,1,1077,7.976627626341386,398.8313813170693,0.858326869343401,0.997916842609014,1.0,0.997916842609014,0.0
energy|power_kw|4|energy/building01/CT2/power_kw,energy,power_kw,static,4,energy/building01/CT2/power_kw,1,50.0,1,,1.0,8,1,p_gated_uniform,2,2077,8.045570131750072,402.2785065875036,0.9380591492111938,0.997916842609014,1.0,0.997916842609014,0.0
energy|power_kw|4|energy/building01/CT2/power_kw,energy,power_kw,static,4,energy/building01/CT2/power_kw,1,50.0,1,,1.0,8,1,p_gated_uniform,3,3077,7.982779647312684,399.1389823656342,0.9840408746171312,0.997916842609014,1.0,0.997916842609014,0.0
energy|power_kw|4|energy/building01/CT2/power_kw,energy,power_kw,static,4,energy/building01/CT2/power_kw,1,50.0,1,,1.0,8,1,p_gated_uniform,4,4077,7.996599012724528,399.8299506362264,0.9133475927544434,0.997916842609014,1.0,0.997916842609014,0.0
energy|power_kw|4|energy/building01/CT2/power_kw,energy,power_kw,static,4,energy/building01/CT2/power_kw,1,50.0,1,,1.0,8,1,p_gated_uniform,5,5077,7.9962753209096284,399.81376604548143,0.994767534854662,0.997916842609014,1.0,0.997916842609014,0.0
energy|power_kw|4|energy/building01/CT3/power_kw,energy,power_kw,static,4,energy/building01/CT3/power_kw,1,50.0,1,,1.0,8,1,p_gated_uniform,0,77,7.904321448371657,395.2160724185828,0.8784012189073833,0.9325227963525836,1.0,0.9325227963525836,0.0
energy|power_kw|4|energy/building01/CT3/power_kw,energy,power_kw,static,4,energy/building01/CT3/power_kw,1,50.0,1,,1.0,8,1,p_gated_uniform,1,1077,8.012328573997376,400.6164286998688,0.7963050943094515,0.9325227963525836,1.0,0.9325227963525836,0.0
energy|power_kw|4|energy/building01/CT3/power_kw,energy,power_kw,static,4,energy/building01/CT3/power_kw,1,50.0,1,,1.0,8,1,p_gated_uniform,2,2077,8.02494006637593,401.2470033187965,0.92462707325337,0.9325227963525836,1.0,0.9325227963525836,0.0
energy|power_kw|4|energy/building01/CT3/power_kw,energy,power_kw,static,4,energy/building01/CT3/power_kw,1,50.0,1,,1.0,8,1,p_gated_uniform,3,3077,8.03921692855915,401.9608464279575,0.7838638518749056,0.9325227963525836,1.0,0.9325227963525836,0.0
energy|power_kw|4|energy/building01/CT3/power_kw,energy,power_kw,static,4,energy/building01/CT3/power_kw,1,50.0,1,,1.0,8,1,p_gated_uniform,4,4077,8.039762985716838,401.9881492858418,0.7600844109460863,0.9325227963525836,1.0,0.9325227963525836,0.0
energy|power_kw|4|energy/building01/CT3/power_kw,energy,power_kw,static,4,energy/building01/CT3/power_kw,1,50.0,1,,1.0,8,1,p_gated_uniform,5,5077,7.963518854967586,398.1759427483793,0.7537710547473967,0.9325227963525836,1.0,0.9325227963525836,0.0
energy|power_kw|4|energy/building01/CT4/power_kw,energy,power_kw,static,4,energy/building01/CT4/power_kw,1,50.0,1,,1.0,8,1,p_gated_uniform,0,77,7.335914934772758,366.7957467386379,0.6833007539011422,0.3454545454545454,1.0,0.3454545454545454,0.0
energy|power_kw|4|energy/building01/CT4/power_kw,energy,power_kw,static,4,energy/building01/CT4/power_kw,1,50.0,1,,1.0,8,1,p_gated_uniform,1,1077,7.425575036358715,371.27875181793576,1.022356465479532,0.3454545454545454,1.0,0.3454545454545454,0.0
energy|power_kw|4|energy/building01/CT4/power_kw,energy,power_kw,static,4,energy/building01/CT4/power_kw,1,50.0,1,,1.0,8,1,p_gated_uniform,2,2077,7.53357396955867,376.6786984779335,0.8497684870149705,0.3454545454545454,1.0,0.3454545454545454,0.0
